,Question,Answer,Sentiment (Positive / Negative / Neutral / Ambiguous)
367925,"Please provide comments regarding your overall rating of this course (using comparable general education, upper division courses,
major or elective courses as criteria). 
","This was one of the best courses I have taken and definitely the best writing course I have ever taken in all of my undergraduate and
graduate courses.
",Positive
291646,"Additional comments?
","Thank you, Professor <Faculty Name>, for making this course work despite this unfortunate situation.
",Positive
220906,"Elaborate on any point evaluated above or anything else relevant to the quality of the course or instructor.
","The instructor was always making sure that we connect what we learn and apply it to our world and our situation. The coronavirus has
caused a bit of a change in our learning environment, but the instructor adapted to it and was still able to demonstrate how a health crisis
affects the economy and entreprises.
",Positive
362608,"Please provide comments explaining your overall rating of this instructor's effectiveness in this class.
","Dr.<Faculty Name> is such a exceptional conductor. Out of all conductors I have rehearsed with, Dr. <Faculty Name> has this special spark that I don't see from
others. Even before becoming a student of his, I remember watching the Wind Symphony with my friends and I really could tell he loved
what he did. I instantly wanted to come to CSUF to be part of the school of music. He and <Faculty Name> were the reasons why I came to
CSUF to become a music major.
",Positive
161036,"Please write any comments in the box below.
","Great professor
",Positive
229647,"Other Comments:
","Keep doing what you’re doing, thanks Professor.
",Positive
487190,"What did the instructor do well?
","He teaches the material so well! He is such a smart professor and knows his material. He is always willing to answer questions and help
his students out.
",Positive
73982,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","constantly asking questions, fostering group as well as class discussion, etc. 
",Neutral
161217,"What did the instructor do well?
","Updating what needs to be done and giving enough time for assignments to be done
",Neutral
474501,"What did the instructor do well?
","Providing students with study guides for the tests
",Negative
293775,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Timely grading. Quick responses to emails. More in-class examples. More preparation before class is needed. Knowledge of the syllabus
schedule.
",Neutral
367228,"Please provide any comments about the faculty member's teaching ability:
","Respectively
",Ambiguous
565584,"Please provide any comments about the faculty member's teaching ability:
","The professor is doing an amazing job. She is very knowledgeable and does her best to teach students to succeed.
",Positive
404097,"Additional Comments:
","Cool
",Positive
484722,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","I love professor <Faculty Name> I took him once from recommendation and I will continue to do so as much as I can.
",Positive
412794,"Your instructor would like to know if there is something you believe he/she has done especially well in his/her teaching of this course.
","I think this professor did a good job of going over plenty of examples of concepts.
",Positive
151147,"Please give feedback on what you liked about the instructor.
","I did not like the instructor his instruction is vague.  He should post what he said in the class on titanium for students who come late or
absent can check it.
",Negative
231273,"What could the instructor improve?
",#NAME?,Positive
256165,"Other Comments:
","The professor did a good job overall. I would recommend him to others.
",Positive
579004,"What did the instructor do that you found particularly helpful or worthwhile?
","I think the instructor did the best she could with the platform that we were taught in. I appreciated her knowledge of strength and
conditioning.
",Positive
579771,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","I don't know where to start... I was looking forward taking this class but the professor seems like he does not care about his students. He
mentions that he is ""proud of us"" but the actions are not there to back it up. Including the unrealistic deadlines while balancing other
classes in this class is ridiculous. I have to say I have not learned one thing about the class and I just copy off what the recorded video
lecture he provides to us, which is not also very clear. Thank you for making the video lectures but they're very vague and I get so lost of
what the next project is about. And when we ask you for info, you get pissed and tell us to look back into the material. The professor
doesn't even accommodate that we are in a pandemic and he is very unforgiving. Well I am happy that this torture is almost over but I wish
you nothing but the best.
",Negative
592727,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","I liked how the essay based grading encouraged the reading instead of having multiple choice answers that could be looked up on or
gotten by skimming the material.
",Positive
413921,"Your instructor would like to know if there is something you believe he/she has done especially well in his/her teaching of this course.
","The instructor provided great feedback and fast responses with email.
",Positive
392351,"Would you recommend this instructor to other students? Why, or why not?
","Neutral
",Neutral
172374,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","I have taken this professor before and have enjoyed some of her other courses. However, I think that this particular class is a little bit too
book heavy for each week's lessons. Reducing the number of chapters to read each week would really help students to focus on your
lectures and your explanations of specific ideas. Overall, I enjoyed your class and would recommend it to other students specifically
because you always give great feedback to students and make us feel appreciated.
",Negative
90742,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","Made discussion forums required in order to generate discussion among the class.
",Neutral
358266,"Please use this space to make additional comments.
","Really loved the class. Only critique is lecture would often start a few minutes before the actual class time, so even if a person is on time,
they are late and missed part of the lecture.
",Positive
298134,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","The professor did deep analysis during each lecture and section.
",Positive
383055,"Was this a challenging course? Explain.
","This class was challenging for me since it is hard for me to grasp concepts easily. I need to be able to discuss the concepts with someone
else in order to fully understand the concept.
",Neutral
174346,"What could the instructor do to have improved the course?
","Maybe have the option of having some in person-days that if you wanted face on face learning that you could attend if you wanted. <Faculty Name> I
enjoyed the Dr. personality and being in person would help me better retain and connect the info
",Neutral
265896,"Do you have any suggestions for improving this course?
","A video or audio lecture would be helpful.
",Positive
346990,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","Not bad
",Positive
338729,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","Her writing assignments were held at a very high standard.
",Negative
177997,"Additional comments:
","All good.
",Positive
114688,"Please provide comments explaining how well the instructor chose repertory that was appropriate to the musical and intellectual level
of the ensemble.
","great
",Positive
531933,"What feedback would you like to provide the instructor about teaching effectiveness and/or course content?
","The content of this course was not fully explained and did not seem like it was adaptable/relevant to my own teaching. I read all of the
content. The organization of the course could have also been more clear. After having such a strong start with 523 this course was a little
disappointing. Also, the content was not representative of a culturally diverse population of students or teachers (youtube videos,
language, etc).
",Negative
248715,"What did the instructor do well?
","She did nothing particularly well
",Negative
449039,"List specific things the instructor has done especially well
","She knew all the information she put out and had a set of weekly assignments.
",Positive
473103,"Please write any comments you would like to add in the box below.
","Dr. <Faculty Name> is phenomenal. She was the most supportive and understanding Professor I had this semester. Her grading criteria is clear and
it makes her assignments much easier to do well on. She provided great learning materials and consistently checked in our mental health
during the semester.
",Positive
87669,"Please provide comments explaning how effectively the instructor used class time. 
","The information meant to be learned in class didn't really take up the whole class period. That time was kind of filled with class questions
and review which I felt was unnecessary most of the time. I think reviewing the information learned in the previous class would be sufficient
but reviewing material at the end of class was overkill. 
",Negative
111812,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","Professor's lectures are easy to follow and very informative and comes very handy when needing to review for exams.
",Positive
579437,"What could the instructor do to have improved the course?
","I think the instructor was good; however, maybe he can be a little less intimidating when people have questions about the material
",Positive
170787,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Really understands the material and knows how to teach students. Gives good help and office hours are helpful
",Positive
487802,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Nothing
",Neutral
514238,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","The grading policy was fair.
",Positive
273161,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","I would rate this professor very highly, he is very passionate about and informed on this area and presents information in a well organized,
professional, funny and interesting way.
",Positive
58046,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","She graded our discussions based on our responses to other students, encouraging further discussion between students.
",Positive
246370,"Please give feedback on what you found effective about the instructor’s teaching style.
","He had us alert by not knowing the answer straight away.
",Ambiguous
487417,"Additional Comments:
","this has been a hard semester and year for all of us and this is the only professor i have had that understands that and still expects us to
learn but makes it possible to do that without adding unnecessary stress.
",Positive
455368,"What could the instructor do to improve the class?
","To improve the class I would suggest to try and not read directly from the slide. Also, to try and get students to participate in the discussion
by asking them questions
",Neutral
339286,"What did the instructor do well?
","His office hours are where he excels. With a smaller class size such as ours where he could guide the project groups more closely, he is
actually a very effective instructor. He also figured out that he gave too much reading in the beginning of the course and adjusted our
course load. When the campus shut down, he also was able to successfully prioritize what the midterms really needed to test.
",Positive
401885,"What did the instructor do that you found particularly helpful or worthwhile?
","The lecture videos where we had to answer questions were helpful as well as having to take notes as an assignment because it
contributed to really paying attention and learning so that we can utilize that information in the other tasks.
",Positive
62538,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","Class would sometimes start a bit late, but it was not a huge problem. The biggest problem has been her use of class time. She
emphasizes how important the content in this course is, then goes over little to none of it during class. The lectures she provides online
usually have anywhere between 40-80 slides in them (some have significantly more), we usually cover maybe 10-15 slides maximum in
lecture because she tends to ramble a lot in between.
",Negative
467260,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Due to COVID, it's clearly different this semester. Not as much tools available to succeed.
5/10
average
",Neutral
278014,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Sometimes the examples would be hard to start and maybe a hint would help.
",Negative
345012,"What did the instructor do well?
","Communicated the material well and answered any question from the class even if it didn't pertain the learning material.
",Positive
427743,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","The professor was very clear with his expectations and he was well organized. There were many opportunities for open discussions and
free expressions which made me think deeper about the subject matter. However, I wish he offered a bit more insight and instruction when
providing the course material.
",Positive
61482,"What did the instructor do well?
","Excellent use of pictures and articles to communicate subject matter 
",Positive
96667,"What feedback would you like to provide the instructor about teaching effectiveness and/or course content?
","This was a great course! Jenith was available whenever any of the students needed her and made it easy to connect with via voxer or
email. She provided students will thorough feedback on course content. 
",Positive
324243,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","Not very interested in course seemed to not want to be there as much as we did but was overall friendly
",Negative
498731,"What could the instructor do to improve the class?
","Post lectures.
",Neutral
415477,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","the group works
",Positive
530819,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","She usually started her class on time. If she had something come up, she would notify us if there wasn't class or if she was going to be a
few minutes late. I appreciate that. She always has office hours after class, if not she would say otherwise. She is kind of slow working on
assignments, but its understandable that she has other classes before my particular one and she would tell us straight up if she was
behind or working on them.
",Positive
105412,"What could the instructor improve?
","the exams should not be as difficult as they were. I felt like they were unnecasrily hard for a subject that is mainly memorization. it would
be nice to be able to use other resources, since many students are not very good at memorizing.
",Negative
444149,"What did your instructor do that you found particularly helpful for your learning?
","He provided the class with helpful advice about the majors, careers, and activities that we all may be interested in. It was also really helpful
for him to invite campus staff members to present about their department to help expose us to the many resources we can access at Cal
State Fullerton. Lastly, it was super helpful for him to teach us about building credit and how we should map out our finances in the future.
",Positive
530886,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","Instructor was always at a good quiet place where she did not have any interruptions.
",Positive
325658,"What were the strongest features of this class?
","a lot of participation
",Positive
155858,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Out of the requests that the majority of the class has agree'd on she has gone through the effort to fulfill them.
",Positive
589149,"What did the instructor do that you found particularly helpful?
","She gave feedback on all our assignments in order for us students to know if we were on track or not.
",Positive
239902,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Answering every questions.
",Positive
561342,"What could the instructor do to have improved the course?
","Some of the SPSS guidelines were not so specific and I had trouble doing the labs at the end. Some of us are complete newbies when it
comes to computer programming. So details, no matter how small, are important too.
",Negative
56423,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","-- More computational problems please!
",Neutral
444797,"What did the instructor do well?
","Professor was able to answer most questions students had and explained topic well.
",Positive
291284,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Whenever she introduces new material I felt that I was learning 25% of it in class and the other 75% outside of the classroom. Maybe take
more time to explain what will be seen on the homework, quizzes, tests. Many of the work that was done in class was in the text book,
however, it was often difficult to find and it longer to understand because there was a differnt explanation then what we were taught in
class. I don't really know if I retained much information for this course this far into the semester due to structure of the course.
",Negative
32918,"What did the instructor do well?
","Made information very clear and concise. Did a great job at making difficult concepts easier to digest and somehow managed to make it
entertaining
",Positive
60164,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","always on time.
",Positive
405354,"Other Comments:
","I just want to thank Dr. <Faculty Name> for everything he has done for me. As my advisor and professor. I'm so lucky to have you, and you
definitely made my education path so much easier and organized. I graduated on time and won scholarships two year in a row because of
all your help and supports. I've learned so much from you and you will be always my best professor. Thank you for everything and helping
your students a lot.
",Positive
156839,"What did the instructor do well?
","The instructional videos were extremely helpful.
",Positive
368281,"Do you have any comments about the course materials (i.e. course syllabus, course outline, etc.)?
","No. Everything was properly and professionally addressed
",Positive
236577,"What suggestions do you have that might help the instructor increase the learning experience in this course?
","If the instructor could directly call out our errors, it would be very beneficial to our learning experience.
",Neutral
377425,"What could the instructor do to have improved the course learning experience?
","He did everything perfectly
",Positive
314935,"5) What do you think were the strongest features of the course?
","Themes
",Positive
243241,"Was this a challenging course? Explain.
","No the professor taught the subject well. Most of it was there the text book during the online portion. I liked it better when he just honed in
on to what was important of the course.
",Positive
104117,"What could you have done to improve your learning experience in this course?
","Focus on what professors explain the subjects more. Reading a textbook is also important to get more knowledge.
",Positive
75078,"Additional Comments:
","great overall! dr. bai really loves the material he is lecturing about and i really enjoy his lectures.
",Positive
338294,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","The instructor was extremely organized with Power points as it was clear and straight to the point. His way of teaching and explaining the
information on the slides goes smoothly. He explained the topics with great detail so, it made it easier to understand.
",Positive
282021,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","He asked questions about the topics.
",Positive
166790,"What could the instructor improve?
","Instructor could try to apply personal experience to the class to make it more engaging.
",Neutral
59278,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","She always uses her time wisely. She starts right when class is supposed to start and ends class right on time. She was fast at grading
exams (literally the next day grades would be posted). She was always quick to give back assignments as well. 
",Positive
80750,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","He taught very well and was always open to questions 
",Positive
266352,"Was this a challenging course? Explain.
","Sometimes. The prompts would be difficult at time and wish there was an example on the wikis to understand the format.
",Negative
566682,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","Put us in break out rooms then discussed as a whole class.
",Neutral
578047,"Explain whether you learned as much as you expected in this class given the amount of effort put into it.
","I think this is true, I learned a lot and it worth my effort I put into it.
",Positive
30423,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","The grading policy is fair and clear. 
",Positive
229587,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Thanks for teaching us what we needed to learn and not getting to bogged down in the details like my last Numerical Analysis prof!
",Positive
356339,"What suggestions for improvements do you have?
","Nothing, His class is amazing.
",Positive
365710,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","As an in person instructor 10/10, things have gotten a lot less clear since the COVID outbreak. Understandably so, just still inconvenient.
",Positive
151182,"Please give suggestions on how this class can be improved.
","The class started off with very little guidance as to how the assignments would be grades, so knowing beforehand instead of not knowing
until we go over the assignments would be good.
",Positive
305079,"What did the instructor do well?
","He did make the chapters understandable at the being of the semester which was nice.
",Positive
138745,"What could the instructor improve?
","Put more info in the slides?
",Negative
295649,"Would you recommend that other students take this course from this instructor? Briefly explain.
","Yes I would recommend because she is truly a good professor.
",Positive
36520,"What could the instructor do to have improved the course?
","i enjoyed all i learned. thank you
",Positive
244696,"List specific things the instructor has done especially well
","Great lecture notes and interactive class experiences.
",Positive
474905,"Were the lab/field manual and other written materials useful in attaining the course objectives?
","Yes, the powerpoints and videos were useful in attaining the course objectives.
",Positive
356375,"List specific things the instructor could do to improve his or her teaching effectiveness.
","I think having lectures posted before class might be more helpful than after class, just because I am able to print them and annotate them
more efficiently.
",Neutral
500417,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","at the end of each reading, examples or guidelines were given to allow us to discuss however we'd like
",Neutral
306615,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Nothing I can think of.
",Positive
489633,"Please write additional comments below.
","Professor <Faculty Name> was a good professor. I took this course as an elective class, thinking it wouldn't be as challenging as it was. There was a
ton of work required by students! If we had in-class sessions, I am sure we wouldn't have that much workload. Everyone is going through
difficult times right now; I feel as though professor <Faculty Name> could have reduced the amount of workload and take into consideration that her
students are going through difficult times.
",Negative
461116,"You may explain your yes/no answer to question number 4 in the space below.
","This course is no more about the overall knowledge.
",Negative
259996,"Your instructor would like to know how you feel about the textbook or other learning materials:
","It helped a lot, esp. the videos.
",Positive
581088,"Please write additional comments below.
","I loved the organization and enthusiasm for teaching Dr. <Faculty Name> had every week for class. It was the only class I had this semester that felt
like the closest thing to having class in person. He encouraged discussion and participation. I thoroughly enjoyed all the content and
material provided, everything that was assigned was beneficial, and a lot was learned. I wanted to thank you for providing such great guest
speakers that were meaningful and willing to ask questions and for you being so open with the class!
",Positive
78306,"What aspects of the course contributed the most to your learning experience?
","It help me better understand the digital marketing environment that I will be participating in.
",Positive
506172,"You may explain your yes/no answer to question number 2 in the space below.
","/
",Ambiguous
202917,"Provide an example and/or explanation that illustrates your rating in Question 2
","The professor posts 30-45 long podcast which makes me feel as if I am inside a classroom learning the content. Their podcast lectures
help to continue the rest of the module we are working on.
",Positive
457298,"Provide an example and/or explanation that illustrates your rating in Question 2
","we went through a lot of material! i did learn a lot
",Positive
276635,"What could the instructor improve?
","Focus more on homework questions. Sometimes we worked on them in class and other times we did not.
",Neutral
88415,"What did the instructor do well?
","I really like how Dr. <Faculty Name> sent out weekly summary’s of the chapter we were supposed to read for the week. It makes the professor feel
more involved in the course, especially considering most online course instructors just post PowerPoint slides/videos and you never really
hear from them again except around test time,
",Positive
222823,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
",".
",Ambiguous
526527,"Was the textbook helpful in attaining the course objectives? Explain.
","Textbook was not really needed as much during the course, this teacher effectively explained the imformation in lecture/powerpoint slides.
",Positive
554804,"7) Do you have other comments?
","no
",Ambiguous
80856,"The laboratory content (for example, level of difficulty, lab manual or textbook, other reading, lecture topic, exams, assignments).
","The laboratory was difficult and had a great attitude when things had gotten difficult.
",Negative
281427,"What feedback would you like to provide the instructor?
","Let me start by saying this is the best online class I have ever taken during my time at Cal State Fullerton. Professor <Faculty Name> made all of the
assignments and course materials clear and easy to follow. I enjoyed doing my Brochure for this course and I even got complimented on
my Brochure as well. She always emailed the class to update everyone on not only what assignments were coming up but what
assignments were due for the week.  I appreciated this because since classes all went online, it was easy to fall off track but the emails
helped out a lot. This was a great class and the professor was awesome.
",Positive
339186,"You may explain your yes/no answer to question number 1.6 in the space below.
","Yes, the material put many different ideas and concepts into perspective. Dr. <Faculty Name> did a great job of making us think deeper.
",Positive
592735,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","The map exercises were an interesting project; we had five total for the semester. We had to review a map and connect to the chapter
reading to present our interpretation of both.
",Positive
68707,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","There were a few times when the lecture was scattered and didn’t seem organized. 
",Neutral
340209,"Would you recommend that other students take this course from this instructor? Briefly explain.
","Yes because shes very helpful and not intimidating. She is willing to help any way she can as long as you ask.
",Positive
365734,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","Professor <Faculty Name> posted very detailed lectures.
",Positive
60429,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","He was very clear on what he expected! I wish his TA's would grade a little faster though
",Neutral
